QID,URI,Location
1,https://en.formulasearchengine.com/w/index.php?oldid=2459#math2459.3,
2,https://en.formulasearchengine.com/w/index.php?oldid=4050#math4050.189,
3,https://en.formulasearchengine.com/w/index.php?oldid=4189#math4189.50,
4,https://en.formulasearchengine.com/w/index.php?oldid=15332#math15332.68,
5,https://en.formulasearchengine.com/w/index.php?oldid=391#math391.114,
6,https://en.formulasearchengine.com/w/index.php?oldid=6937#math6937.5,
7,https://en.formulasearchengine.com/w/index.php?oldid=25610#math25610.24,
8,https://en.formulasearchengine.com/w/index.php?oldid=27419#math27419.4,
9,https://en.formulasearchengine.com/w/index.php?oldid=14488#math14488.36,
10,https://en.formulasearchengine.com/w/index.php?oldid=16784#math16784.38,
11,https://en.formulasearchengine.com/w/index.php?oldid=16716#math16716.20,
12,https://en.formulasearchengine.com/w/index.php?oldid=2875#math2875.2,
13,https://en.formulasearchengine.com/w/index.php?oldid=9319#math9319.2,
14,https://en.formulasearchengine.com/w/index.php?oldid=21982#math21982.43,
15,https://en.formulasearchengine.com/w/index.php?oldid=26321#math26321.4,
16,https://en.formulasearchengine.com/w/index.php?oldid=13492#math13492.85,
17,https://en.formulasearchengine.com/w/index.php?oldid=27275#math27275.2,
18,https://en.formulasearchengine.com/w/index.php?oldid=15283#math15283.17,
19,https://en.formulasearchengine.com/w/index.php?oldid=3897#math3897.2,
20,https://en.formulasearchengine.com/w/index.php?oldid=8808#math8808.39,
21,https://en.formulasearchengine.com/w/index.php?oldid=17336#math17336.30,
22,https://en.formulasearchengine.com/w/index.php?oldid=4416#math4416.4,
23,https://en.formulasearchengine.com/w/index.php?oldid=25343#math25343.3,
24,https://en.formulasearchengine.com/w/index.php?oldid=566#math566.28,
25,https://en.formulasearchengine.com/w/index.php?oldid=22618#math22618.22,
26,https://en.formulasearchengine.com/w/index.php?oldid=485#math485.10,
27,https://en.formulasearchengine.com/w/index.php?oldid=2623#math2623.0,
28,https://en.formulasearchengine.com/w/index.php?oldid=1227#math1227.93,
29,https://en.formulasearchengine.com/w/index.php?oldid=21692#math21692.5,
30,https://en.formulasearchengine.com/w/index.php?oldid=24277#math24277.5,
31,https://en.formulasearchengine.com/w/index.php?oldid=3625#math3625.19,
32,https://en.formulasearchengine.com/w/index.php?oldid=17517#math17517.2,
33,https://en.formulasearchengine.com/w/index.php?oldid=22538#math22538.9,
34,https://en.formulasearchengine.com/w/index.php?oldid=17497#math17497.55,
35,https://en.formulasearchengine.com/w/index.php?oldid=5626#math5626.4,
